date,site,year,N_C_response_ratio,N_mg.L,C_mg.L
2019-07-22,fresh,2019,0.07050000000000001,1.0115909755483492,5.679312671768683
2019-07-22,gcrew,2019,0.0665,0.4968372196786017,2.9930816661759967
2019-08-07,fresh,2019,0.0605,0.7105726820367375,4.693993392849687
2019-08-07,gcrew,2019,0.0595,0.4376601244308812,2.971379017302114
2019-08-20,fresh,2019,0.069,0.7130117029915135,4.10151045792228
2019-08-20,gcrew,2019,0.067,0.8259226421075021,4.872745995479223
2019-09-10,fresh,2019,0.0495,0.851645356000199,6.940467722501399
2019-09-10,gcrew,2019,0.056,0.619799567295696,4.374485260025219
2019-10-02,fresh,2019,0.061,0.728855877600572,4.745067991140471
2019-10-02,gcrew,2019,0.0635,0.30284020516007487,1.8526368086881073
